03:03:18: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
03:03:20: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 135] Connected!
03:03:20: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE ALTITUDE: 1.00
03:03:21: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE ALTITUDE: -1.00
03:03:24: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 63.4
03:03:24: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:03:25: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 116.6
03:03:25: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 45.0
03:03:26: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 63.4
03:03:26: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:03:27: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 26.6
03:03:27: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 45.0
03:03:28: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:03:28: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 45.0
03:03:29: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:03:29: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 135.0
03:03:30: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -26.6
03:03:30: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -45.0
03:03:31: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -90.0
03:03:31: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -45.0
03:03:32: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -90.0
03:03:32: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -135.0
03:03:33: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -63.4
03:03:34: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -90.0
03:03:34: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -116.6
03:03:35: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -45.0
03:03:35: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -63.4
03:03:36: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -90.0
