03:08:28: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
03:08:30: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 135] Connected!
03:08:30: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE ALTITUDE: 1.00
03:08:31: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE ALTITUDE: -1.00
03:08:34: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 63.4
03:08:35: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:08:35: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 116.6
03:08:36: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 45.0
03:08:36: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 63.4
03:08:37: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:08:37: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 26.6
03:08:38: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 45.0
03:08:38: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:08:39: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 45.0
03:08:40: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 90.0
03:08:40: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: 135.0
03:08:41: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -26.6
03:08:41: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -45.0
03:08:42: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -90.0
03:08:43: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -45.0
03:08:43: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -90.0
03:08:44: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -135.0
03:08:44: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -63.4
03:08:45: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -90.0
03:08:45: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -116.6
03:08:46: [INFO] [/home/eric/projects/warg_bootcamp/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 77] Received command result: CHANGE YAW: -45.0
